Tipo Agregacao;Gestao;Cod UG;Unidade Gestora;Conta Contabil;Conta Corrente;Saldo Calculado
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006309                                  ;-20000
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006311                                  ;-2000
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006312                                  ;-47640
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006331                                  ;-21822,21
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006332                                  ;-46177,45
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006350                                  ;-41170
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006358                                  ;-3500
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006373                                  ;-1967,7
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006374                                  ;-2710
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006376                                  ;-6226,95
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006378                                  ;-1969,1
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006381                                  ;-2270
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006383                                  ;-4850
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006411                                  ;-11030
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006680                                  ;-6500
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;006692                                  ;-2680
